"site_code","date","raca_adult","raca_juvenile","radr_adult","radr_juvenile","raxx_adult_or_juvenile","bubo_adult","bubo_juvenile","psre_adult","psre_juvenile","taxx_adult","taxx_juvenile","temp"
"CABIN",2022-05-06,0,4,0,0,19,1,0,2,0,0,"0",20.3
"GRAMPS",2022-05-06,0,0,0,0,0,1,0,0,4,0,"0",21.1
"GDPND006",2022-05-07,0,0,0,0,0,0,0,1,2,0,"0",23.5
"GDPND005",2022-05-07,0,0,0,0,0,0,0,1,0,0,"0",21.4
"GDPND004",2022-05-07,0,0,0,0,0,0,0,0,0,0,"0",23.5
"GDPND009",2022-05-07,0,0,0,0,0,0,0,0,2,0,"0",24.8
"PRPND010",2022-05-08,0,0,0,0,1,0,0,4,9,0,"0",17.6
"PRPND009",2022-05-08,0,0,0,0,0,0,0,0,5,0,"0",20.5
"PRPND004",2022-05-08,0,0,0,0,0,1,0,0,0,0,"0",18.5
"WEST",2022-05-08,0,0,0,0,6,0,0,2,28,0,"0",23.6
