"site","filter","Day_1","Day_7","rate_loss"
"BARN","40um_filter",98177,1183.11,4.418625407429
"PRPND002","40um_filter",25770,609.7,3.74399927073264
"GDPND009","40um_filter",73880,200,5.91188006776514
"GDPND008","40um_filter",176800,263.6,6.50834162655733
"PRPND004","40um_filter",159200,2890.8,4.00862799298359
"GDPND004","40um_filter",99540,431.38,5.44132548021832
"CABIN","40um_filter",66130,3360,2.97968152771146
"NORTH","40um_filter",113000,744.7,5.02216164497788
"WEST","40um_filter",84900,4470,2.94408568469182
"PRPND009","40um_filter",95700,4118.09,3.14582883482259
"GDPND006","40um_filter",115440,508.04,5.42594600881163
"PRPND003","40um_filter",172000,3324.6,3.94614511069423
"GDPND005","40um_filter",107050,835.67,4.85281749570433
"GRAMPS","40um_filter",78320,3520.5,3.1021999732452
"PRPND010","40um_filter",104900,2496.8,3.73799760342782
"BARN","0.22um_filter",98800,51430,0.652875944966997
"PRPND002","0.22um_filter",95700,46120,0.72997160305805
"GDPND009","0.22um_filter",85500,82980,0.0299167610379936
"GDPND008","0.22um_filter",92800,63730,0.375791230465952
"PRPND004","0.22um_filter",137500,88670,0.43870230371471
"GDPND004","0.22um_filter",92200,53700,0.540547129047729
"CABIN","0.22um_filter",81500,83460,-0.0237644549165896
"NORTH","0.22um_filter",109900,77790,0.345557973190893
"WEST","0.22um_filter",162900,99500,0.492978871443453
"PRPND009","0.22um_filter",127600,55830,0.826589011588419
"GDPND006","0.22um_filter",146600,53590,1.00634530594579
"PRPND003","0.22um_filter",234000,172400,0.305503757128109
"GDPND005","0.22um_filter",95800,40610,0.858248343278609
"GRAMPS","0.22um_filter",121600,88000,0.323400155053861
"PRPND010","0.22um_filter",147100,52660,1.02725647353923
